mechanism,split,rate_pct,n_seeds,mode_winner,mode_winner_count,mode_winner_pct,winner_auroc_mean,winner_auroc_std,winner_ap_mean,winner_ap_std,winner_brier_mean,winner_brier_std,winner_ece_mean,winner_ece_std
MAR,S1,30.0,20,xgb,20,100.0,0.9107,0.0036,0.3664,0.0234,0.0198,0.0004,0.0059,0.0007
MAR,S1,40.0,20,xgb,18,90.0,0.8665,0.0074,0.2655,0.0197,0.0217,0.0004,0.005,0.0006
MAR,S1,50.0,20,xgb,9,45.0,0.777,0.0082,0.1384,0.012,0.0237,0.0002,0.0033,0.001
MAR,S2,30.0,20,xgb,20,100.0,0.9116,0.0059,0.3615,0.0206,0.0199,0.0004,0.0066,0.0008
MAR,S2,40.0,20,xgb,20,100.0,0.8642,0.0082,0.2576,0.0183,0.0217,0.0003,0.0057,0.0007
MAR,S2,50.0,20,xgb,14,70.0,0.7783,0.0084,0.1388,0.0092,0.0236,0.0002,0.005,0.001
MCAR,S1,30.0,20,xgb,17,85.0,0.9368,0.003,0.4669,0.0138,0.018,0.0003,0.0061,0.0008
MCAR,S1,40.0,20,xgb,17,85.0,0.9253,0.0032,0.4281,0.0141,0.0188,0.0004,0.0062,0.0007
MCAR,S1,50.0,20,xgb,16,80.0,0.911,0.0057,0.3857,0.0218,0.0196,0.0004,0.0057,0.0007
MCAR,S2,30.0,20,xgb,19,95.0,0.9356,0.0052,0.4525,0.0155,0.0182,0.0003,0.0066,0.0008
MCAR,S2,40.0,20,xgb,17,85.0,0.9242,0.0047,0.417,0.0121,0.0189,0.0003,0.0058,0.0009
MCAR,S2,50.0,20,xgb,16,80.0,0.9142,0.0049,0.38,0.0077,0.0197,0.0002,0.0059,0.0009
MNAR,S1,30.0,20,xgb,19,95.0,0.9945,0.0007,0.8679,0.0141,0.0087,0.0009,0.0071,0.0039
MNAR,S1,40.0,20,rf,20,100.0,0.9984,0.0003,0.9092,0.0202,0.0057,0.0003,0.0138,0.0005
MNAR,S1,50.0,20,rf,12,60.0,0.9978,0.0003,0.8723,0.0159,0.0062,0.001,0.011,0.0057
MNAR,S2,30.0,20,xgb,14,70.0,0.9945,0.0011,0.8639,0.0191,0.0096,0.0015,0.0112,0.0077
MNAR,S2,40.0,20,rf,15,75.0,0.9984,0.0003,0.9111,0.0196,0.0052,0.0007,0.0113,0.0045
MNAR,S2,50.0,20,xgb,12,60.0,0.9978,0.0003,0.8768,0.0184,0.0056,0.0011,0.0087,0.0057
