mechanism,split,rate_pct,n_seeds,flip_pct,kendall_tau_mean,spearman_rho_mean,top1_mode,top2_mode,auroc_margin_pp,auroc_margin_ci95_lo_pp,auroc_margin_ci95_hi_pp,frac_top1_dominant,frac_tied_or_flipped
MAR,S1,30.0,20,0.0,0.89,0.945,xgb,extratrees,1.1867,0.9636,1.4097,0.95,0.05
MAR,S1,40.0,20,10.0,0.85,0.915,xgb,extratrees,1.4435,1.0907,1.7963,0.8,0.2
MAR,S1,50.0,20,55.0,0.74,0.825,xgb,rf,0.6387,0.408,0.8694,0.35,0.65
MAR,S2,30.0,20,0.0,0.87,0.935,xgb,extratrees,1.33,1.0826,1.5773,0.95,0.05
MAR,S2,40.0,20,0.0,0.87,0.935,xgb,extratrees,1.4164,1.1425,1.6903,0.95,0.05
MAR,S2,50.0,20,30.0,0.82,0.89,xgb,extratrees,0.5701,0.3898,0.7504,0.4,0.6
MCAR,S1,30.0,20,15.0,0.91,0.95,xgb,rf,0.3967,0.2686,0.5248,0.25,0.75
MCAR,S1,40.0,20,15.0,0.85,0.91,xgb,extratrees,0.489,0.3552,0.6228,0.5,0.5
MCAR,S1,50.0,20,20.0,0.83,0.9,xgb,extratrees,0.385,0.2243,0.5456,0.25,0.75
MCAR,S2,30.0,20,5.0,0.86,0.925,xgb,rf,0.548,0.3988,0.6973,0.6,0.4
MCAR,S2,40.0,20,15.0,0.87,0.925,xgb,extratrees,0.4026,0.2818,0.5235,0.3,0.7
MCAR,S2,50.0,20,20.0,0.83,0.9,xgb,extratrees,0.5661,0.3819,0.7503,0.45,0.55
MNAR,S1,30.0,20,5.0,0.89,0.945,xgb,rf,0.2149,0.1281,0.3017,0.15,0.85
MNAR,S1,40.0,20,100.0,0.62,0.77,rf,xgb,0.0133,0.0088,0.0177,0.0,1.0
MNAR,S1,50.0,20,60.0,0.71,0.82,rf,xgb,0.0229,0.0137,0.0322,0.0,1.0
MNAR,S2,30.0,20,30.0,0.86,0.925,xgb,rf,0.1431,0.0776,0.2087,0.05,0.95
MNAR,S2,40.0,20,75.0,0.67,0.815,rf,xgb,0.0155,0.0096,0.0214,0.0,1.0
MNAR,S2,50.0,20,40.0,0.76,0.88,xgb,rf,0.0136,0.0065,0.0207,0.0,1.0
