mechanism,split,rate_pct,n_seeds,flip_pct,kendall_tau_mean,spearman_rho_mean,top1_mode,top2_mode,auroc_margin_pp,auroc_margin_ci95_lo_pp,auroc_margin_ci95_hi_pp,frac_top1_dominant,frac_tied_or_flipped,mean_indicator_auroc,max_indicator_auroc,top_feature,top_feature_indicator_auroc,mode_winner,mode_winner_pct,winner_auroc_mean,winner_ap_mean,winner_brier_mean,winner_ece_mean
MAR,S1,30.0,20,0.0,0.89,0.945,xgb,extratrees,1.1867,0.9636,1.4097,0.95,0.05,0.5043,0.5834,marital_status,0.5834,xgb,100.0,0.9107,0.3664,0.0198,0.0059
MAR,S1,40.0,20,10.0,0.85,0.915,xgb,extratrees,1.4435,1.0907,1.7963,0.8,0.2,0.5291,0.5852,marital_status,0.5852,xgb,90.0,0.8665,0.2655,0.0217,0.005
MAR,S1,50.0,20,55.0,0.74,0.825,xgb,rf,0.6387,0.408,0.8694,0.35,0.65,0.5468,0.5898,marital_status,0.5898,xgb,45.0,0.777,0.1384,0.0237,0.0033
MAR,S2,30.0,20,0.0,0.87,0.935,xgb,extratrees,1.33,1.0826,1.5773,0.95,0.05,0.5043,0.5834,marital_status,0.5834,xgb,100.0,0.9116,0.3615,0.0199,0.0066
MAR,S2,40.0,20,0.0,0.87,0.935,xgb,extratrees,1.4164,1.1425,1.6903,0.95,0.05,0.5291,0.5852,marital_status,0.5852,xgb,100.0,0.8642,0.2576,0.0217,0.0057
MAR,S2,50.0,20,30.0,0.82,0.89,xgb,extratrees,0.5701,0.3898,0.7504,0.4,0.6,0.5468,0.5898,marital_status,0.5898,xgb,70.0,0.7783,0.1388,0.0236,0.005
MCAR,S1,30.0,20,15.0,0.91,0.95,xgb,rf,0.3967,0.2686,0.5248,0.25,0.75,0.4516,0.5523,marital_status,0.5523,xgb,85.0,0.9368,0.4669,0.018,0.0061
MCAR,S1,40.0,20,15.0,0.85,0.91,xgb,extratrees,0.489,0.3552,0.6228,0.5,0.5,0.458,0.5434,marital_status,0.5434,xgb,85.0,0.9253,0.4281,0.0188,0.0062
MCAR,S1,50.0,20,20.0,0.83,0.9,xgb,extratrees,0.385,0.2243,0.5456,0.25,0.75,0.4648,0.5376,marital_status,0.5376,xgb,80.0,0.911,0.3857,0.0196,0.0057
MCAR,S2,30.0,20,5.0,0.86,0.925,xgb,rf,0.548,0.3988,0.6973,0.6,0.4,0.4516,0.5523,marital_status,0.5523,xgb,95.0,0.9356,0.4525,0.0182,0.0066
MCAR,S2,40.0,20,15.0,0.87,0.925,xgb,extratrees,0.4026,0.2818,0.5235,0.3,0.7,0.458,0.5434,marital_status,0.5434,xgb,85.0,0.9242,0.417,0.0189,0.0058
MCAR,S2,50.0,20,20.0,0.83,0.9,xgb,extratrees,0.5661,0.3819,0.7503,0.45,0.55,0.4648,0.5376,marital_status,0.5376,xgb,80.0,0.9142,0.38,0.0197,0.0059
MNAR,S1,30.0,20,5.0,0.89,0.945,xgb,rf,0.2149,0.1281,0.3017,0.15,0.85,0.7227,0.8138,marital_status,0.8138,xgb,95.0,0.9945,0.8679,0.0087,0.0071
MNAR,S1,40.0,20,100.0,0.62,0.77,rf,xgb,0.0133,0.0088,0.0177,0.0,1.0,0.7967,0.8767,admission_type,0.8767,rf,100.0,0.9984,0.9092,0.0057,0.0138
MNAR,S1,50.0,20,60.0,0.71,0.82,rf,xgb,0.0229,0.0137,0.0322,0.0,1.0,0.7767,0.8519,anchor_year_group,0.8519,rf,60.0,0.9978,0.8723,0.0062,0.011
MNAR,S2,30.0,20,30.0,0.86,0.925,xgb,rf,0.1431,0.0776,0.2087,0.05,0.95,0.7227,0.8138,marital_status,0.8138,xgb,70.0,0.9945,0.8639,0.0096,0.0112
MNAR,S2,40.0,20,75.0,0.67,0.815,rf,xgb,0.0155,0.0096,0.0214,0.0,1.0,0.7967,0.8767,admission_type,0.8767,rf,75.0,0.9984,0.9111,0.0052,0.0113
MNAR,S2,50.0,20,40.0,0.76,0.88,xgb,rf,0.0136,0.0065,0.0207,0.0,1.0,0.7767,0.8519,anchor_year_group,0.8519,xgb,60.0,0.9978,0.8768,0.0056,0.0087
