mechanism,rate,split,flip_pct,kendall_tau_mean,kendall_tau_std,spearman_rho_mean,spearman_rho_std,n_seeds
MCAR,0.0,S1,0.0,0.9999999999999998,1.1102230246251565e-16,0.9999999999999998,1.1102230246251565e-16,20
MCAR,0.05,S1,5.0,0.9,0.09999999999999998,0.9499999999999996,0.050000000000000044,20
MCAR,0.1,S1,0.0,0.8800000000000001,0.09797958971132709,0.9399999999999997,0.048989794855663606,20
MCAR,0.2,S1,5.0,0.89,0.11789826122551594,0.9399999999999997,0.07348469228349536,20
MCAR,0.3,S1,15.0,0.9099999999999999,0.11789826122551594,0.9499999999999998,0.07416198487095663,20
MCAR,0.4,S1,15.0,0.85,0.1884144368141677,0.9099999999999996,0.1260952021291849,20
MCAR,0.5,S1,20.0,0.8299999999999998,0.1307669683062202,0.8999999999999997,0.09486832980505137,20
MCAR,0.0,S2,0.0,0.9999999999999998,1.1102230246251565e-16,0.9999999999999998,1.1102230246251565e-16,20
MCAR,0.05,S2,0.0,0.8999999999999998,0.09999999999999996,0.9499999999999998,0.05000000000000004,20
MCAR,0.1,S2,0.0,0.95,0.08660254037844385,0.9749999999999999,0.043301270189221974,20
MCAR,0.2,S2,10.0,0.9,0.11832159566199228,0.945,0.07399324293474373,20
MCAR,0.3,S2,5.0,0.86,0.11135528725660043,0.9249999999999996,0.0698212002188447,20
MCAR,0.4,S2,15.0,0.8700000000000001,0.13076696830622017,0.9249999999999998,0.08874119674649424,20
MCAR,0.5,S2,20.0,0.8299999999999998,0.1307669683062202,0.8999999999999998,0.09486832980505137,20
MAR,0.0,S1,0.0,0.9999999999999998,1.1102230246251565e-16,0.9999999999999998,1.1102230246251565e-16,20
MAR,0.05,S1,15.0,0.8400000000000001,0.11999999999999995,0.9099999999999998,0.08306623862918072,20
MAR,0.1,S1,0.0,0.86,0.0916515138991168,0.9299999999999997,0.04582575694955845,20
MAR,0.2,S1,10.0,0.8699999999999999,0.1584297951775486,0.9249999999999998,0.10428326807307103,20
MAR,0.3,S1,0.0,0.89,0.09949874371066199,0.9449999999999997,0.049749371855331036,20
MAR,0.4,S1,10.0,0.8499999999999999,0.1396424004376894,0.9149999999999997,0.09096702699330125,20
MAR,0.5,S1,55.00000000000001,0.74,0.19078784028338913,0.8249999999999998,0.1409787217987168,20
MAR,0.0,S2,0.0,0.9999999999999998,1.1102230246251565e-16,0.9999999999999998,1.1102230246251565e-16,20
MAR,0.05,S2,0.0,0.8699999999999999,0.09539392014169452,0.9349999999999998,0.047696960070847325,20
MAR,0.1,S2,0.0,0.9099999999999999,0.09949874371066197,0.9549999999999997,0.049749371855331036,20
MAR,0.2,S2,0.0,0.8800000000000001,0.09797958971132709,0.9399999999999998,0.048989794855663606,20
MAR,0.3,S2,0.0,0.8700000000000001,0.09539392014169452,0.9349999999999998,0.047696960070847325,20
MAR,0.4,S2,0.0,0.8700000000000001,0.09539392014169452,0.9349999999999998,0.047696960070847325,20
MAR,0.5,S2,30.0,0.8200000000000001,0.13999999999999999,0.8899999999999999,0.10440306508910546,20
MNAR,0.0,S1,0.0,0.9999999999999998,1.1102230246251565e-16,0.9999999999999998,1.1102230246251565e-16,20
MNAR,0.05,S1,0.0,0.9099999999999999,0.09949874371066197,0.9549999999999997,0.049749371855331036,20
MNAR,0.1,S1,0.0,0.8800000000000001,0.09797958971132709,0.9399999999999997,0.048989794855663606,20
MNAR,0.2,S1,0.0,0.9099999999999999,0.09949874371066197,0.9549999999999997,0.049749371855331036,20
MNAR,0.3,S1,5.0,0.89,0.09949874371066199,0.9449999999999997,0.049749371855331036,20
MNAR,0.4,S1,100.0,0.62,0.16613247725836147,0.77,0.12688577540449514,20
MNAR,0.5,S1,60.0,0.71,0.19467922333931784,0.82,0.13266499161421597,20
MNAR,0.0,S2,0.0,0.9999999999999998,1.1102230246251565e-16,0.9999999999999998,1.1102230246251565e-16,20
MNAR,0.05,S2,0.0,0.8799999999999999,0.09797958971132709,0.9399999999999997,0.048989794855663606,20
MNAR,0.1,S2,0.0,0.8700000000000001,0.09539392014169452,0.9349999999999998,0.047696960070847325,20
MNAR,0.2,S2,0.0,0.9199999999999999,0.09797958971132709,0.9599999999999997,0.048989794855663606,20
MNAR,0.3,S2,30.0,0.86,0.11135528725660042,0.9249999999999996,0.0698212002188447,20
MNAR,0.4,S2,75.0,0.6700000000000002,0.13076696830622017,0.8149999999999998,0.09630680142129104,20
MNAR,0.5,S2,40.0,0.76,0.10198039027185568,0.8799999999999999,0.050990195135927806,20
