mechanism,rate,split,friedman_stat,p_value,significant_p05,avg_rank_lr_l2,avg_rank_svm_linear_cal,avg_rank_rf,avg_rank_xgb,avg_rank_extratrees
MCAR,0.0,S1,76.16000000000003,1.1324542974240058e-15,True,10.5,10.5,10.5,10.5,10.5
MCAR,0.0,S2,76.36000000000001,1.0273090466357298e-15,True,10.5,10.5,10.5,10.5,10.5
MCAR,0.05,S1,74.92000000000002,2.071753054433614e-15,True,10.5,10.5,10.5,10.5,10.5
MCAR,0.05,S2,76.36000000000001,1.0273090466357298e-15,True,10.5,10.5,10.5,10.5,10.5
MCAR,0.1,S1,76.16000000000003,1.1324542974240058e-15,True,10.5,10.5,10.5,10.5,10.5
MCAR,0.1,S2,76.63999999999999,8.962908495483486e-16,True,10.5,10.5,10.5,10.5,10.5
MCAR,0.2,S1,74.84000000000003,2.15406025579815e-15,True,10.5,10.5,10.5,10.5,10.5
MCAR,0.2,S2,73.88,3.437630271428875e-15,True,10.5,10.5,10.5,10.5,10.5
MCAR,0.3,S1,72.04000000000002,8.416842029766788e-15,True,10.5,10.5,10.5,10.5,10.5
MCAR,0.3,S2,74.84000000000003,2.15406025579815e-15,True,10.5,10.5,10.5,10.5,10.5
MCAR,0.4,S1,72.44,6.928356627040936e-15,True,10.5,10.5,10.5,10.5,10.5
MCAR,0.4,S2,72.68,6.1647126955497834e-15,True,10.5,10.5,10.5,10.5,10.5
MCAR,0.5,S1,71.68,1.0027793686067829e-14,True,10.5,10.5,10.5,10.5,10.5
MCAR,0.5,S2,71.68,1.0027793686067829e-14,True,10.5,10.5,10.5,10.5,10.5
MAR,0.0,S1,76.16000000000003,1.1324542974240058e-15,True,10.5,10.5,10.5,10.5,10.5
MAR,0.0,S2,76.36000000000001,1.0273090466357298e-15,True,10.5,10.5,10.5,10.5,10.5
MAR,0.05,S1,73.88,3.437630271428875e-15,True,10.5,10.5,10.5,10.5,10.5
MAR,0.05,S2,76.0,1.2242617888987312e-15,True,10.5,10.5,10.5,10.5,10.5
MAR,0.1,S1,77.44,6.069136434037177e-16,True,10.5,10.5,10.5,10.5,10.5
MAR,0.1,S2,76.16000000000003,1.1324542974240058e-15,True,10.5,10.5,10.5,10.5,10.5
MAR,0.2,S1,75.56,1.51691860657592e-15,True,10.5,10.5,10.5,10.5,10.5
MAR,0.2,S2,79.24000000000001,2.523437461527484e-16,True,10.5,10.5,10.5,10.5,10.5
MAR,0.3,S1,77.96000000000004,4.71024920774069e-16,True,10.5,10.5,10.5,10.5,10.5
MAR,0.3,S2,78.56,3.5156223172639525e-16,True,10.5,10.5,10.5,10.5,10.5
MAR,0.4,S1,77.80000000000001,5.092341843062644e-16,True,10.5,10.5,10.5,10.5,10.5
MAR,0.4,S2,80.0,1.7418252446695558e-16,True,10.5,10.5,10.5,10.5,10.5
MAR,0.5,S1,65.07999999999998,2.475258822542311e-13,True,10.5,10.5,10.5,10.5,10.5
MAR,0.5,S2,68.68,4.3111589626198856e-14,True,10.5,10.5,10.5,10.5,10.5
MNAR,0.0,S1,76.16000000000003,1.1324542974240058e-15,True,10.5,10.5,10.5,10.5,10.5
MNAR,0.0,S2,76.36000000000001,1.0273090466357298e-15,True,10.5,10.5,10.5,10.5,10.5
MNAR,0.05,S1,77.96000000000004,4.71024920774069e-16,True,10.5,10.5,10.5,10.5,10.5
MNAR,0.05,S2,77.96000000000004,4.71024920774069e-16,True,10.5,10.5,10.5,10.5,10.5
MNAR,0.1,S1,80.0,1.7418252446695558e-16,True,10.5,10.5,10.5,10.5,10.5
MNAR,0.1,S2,80.0,1.7418252446695558e-16,True,10.5,10.5,10.5,10.5,10.5
MNAR,0.2,S1,79.24000000000001,2.523437461527484e-16,True,10.5,10.5,10.5,10.5,10.5
MNAR,0.2,S2,79.24000000000001,2.523437461527484e-16,True,10.5,10.5,10.5,10.5,10.5
MNAR,0.3,S1,77.68,5.39910349650146e-16,True,10.5,10.5,10.5,10.5,10.5
MNAR,0.3,S2,75.32,1.7050285725533503e-15,True,10.5,10.5,10.5,10.5,10.5
MNAR,0.4,S1,76.0,1.2242617888987312e-15,True,10.5,10.5,10.5,10.5,10.5
MNAR,0.4,S2,73.04000000000002,5.174022948214765e-15,True,10.5,10.5,10.5,10.5,10.5
MNAR,0.5,S1,72.19999999999999,7.786514791022274e-15,True,10.5,10.5,10.5,10.5,10.5
MNAR,0.5,S2,72.19999999999999,7.786514791022274e-15,True,10.5,10.5,10.5,10.5,10.5
