mechanism,rate,split,seed,top1_model,top1_auroc,top2_model,top2_auroc,gap
MAR,0.0,S1,1001,xgb,0.9600384894535464,rf,0.9517452509750148,0.008293238478531584
MAR,0.0,S1,1002,xgb,0.9550617483457096,extratrees,0.9493766327872983,0.0056851155584112245
MAR,0.0,S1,1003,xgb,0.9533960065247978,rf,0.9511291524128351,0.0022668541119627017
MAR,0.0,S1,1004,xgb,0.9555144604829993,extratrees,0.9509019326956581,0.004612527787341114
MAR,0.0,S1,1005,xgb,0.9579001868186763,extratrees,0.9505889094573263,0.007311277361349955
MAR,0.0,S1,1006,xgb,0.957176169270849,extratrees,0.9511864839365176,0.005989685334331418
MAR,0.0,S1,1007,xgb,0.9573386463856224,rf,0.9521714226294495,0.005167223756172845
MAR,0.0,S1,1008,xgb,0.9516985525752559,rf,0.9486893203306593,0.0030092322445965936
MAR,0.0,S1,1009,xgb,0.9581727656373541,rf,0.9507452238138777,0.00742754182347638
MAR,0.0,S1,1010,xgb,0.9523843870763748,extratrees,0.950210864239998,0.00217352283637684
MAR,0.0,S1,1011,xgb,0.9544375251639947,rf,0.9490058435961627,0.005431681567832025
MAR,0.0,S1,1012,xgb,0.9567830059632003,rf,0.9498715441156496,0.006911461847550759
MAR,0.0,S1,1013,xgb,0.9564389419165785,rf,0.9507423072068086,0.005696634709769888
MAR,0.0,S1,1014,xgb,0.9544847984862613,rf,0.9525366068208732,0.001948191665388177
MAR,0.0,S1,1015,xgb,0.9543621776080237,extratrees,0.9495521319797234,0.00481004562830023
MAR,0.0,S1,1016,xgb,0.9544051784842607,extratrees,0.9502716844260986,0.004133494058162102
MAR,0.0,S1,1017,xgb,0.9581064042925757,extratrees,0.9498940874438857,0.008212316848689949
MAR,0.0,S1,1018,xgb,0.9559385272454024,rf,0.948994936705305,0.006943590540097411
MAR,0.0,S1,1019,xgb,0.960275807411079,rf,0.9507031541306208,0.009572653280458199
MAR,0.0,S1,1020,xgb,0.9552839155340621,rf,0.9504970534726725,0.004786862061389563
MAR,0.0,S2,1001,xgb,0.9575756732180458,extratrees,0.9466189970212859,0.010956676196759885
MAR,0.0,S2,1002,xgb,0.9556778162288098,rf,0.9493668972234133,0.006310919005396487
