mechanism,rate,split,model,seed,fold,auroc,ap,brier,ece
MCAR,0.0,S1,lr_l2,1001,1,0.8676178911151589,0.3429390593245405,0.0201776465452397,0.0051330602824353
MCAR,0.0,S1,lr_l2,1001,2,0.9050001282741988,0.4519761340593831,0.0184037488766263,0.0064967937905971
MCAR,0.0,S1,lr_l2,1001,3,0.8673798712127042,0.3927478797221581,0.019061819776294,0.0037191919739936
MCAR,0.0,S1,lr_l2,1001,4,0.8983691690962099,0.5200835540921491,0.0167943846737737,0.0062361087620607
MCAR,0.0,S1,lr_l2,1001,5,0.9156138645934564,0.4780236721070145,0.0175126394426411,0.0032724847335754
MCAR,0.0,S1,svm_linear_cal,1001,1,0.8589759158065168,0.3249291192730715,0.0207643380622774,0.0081435474175087
MCAR,0.0,S1,svm_linear_cal,1001,2,0.892213756125093,0.4639608971101786,0.017976997501547,0.0083423416698006
MCAR,0.0,S1,svm_linear_cal,1001,3,0.8655275917801893,0.410254095956456,0.0189347949568318,0.0045354987153466
MCAR,0.0,S1,svm_linear_cal,1001,4,0.8915057094266277,0.5368147231806397,0.0165269489639503,0.0101755722353895
MCAR,0.0,S1,svm_linear_cal,1001,5,0.899573817622287,0.4823011938883149,0.0173699416661756,0.0042222706730364
MCAR,0.0,S1,rf,1001,1,0.9390255009107468,0.4679983167580466,0.0181871680406959,0.0045684239768061
MCAR,0.0,S1,rf,1001,2,0.9662254034223556,0.5483654665871308,0.0163344016335227,0.0076071259469696
MCAR,0.0,S1,rf,1001,3,0.9466584571179354,0.5583749550044683,0.0166829541508601,0.0089663321305701
MCAR,0.0,S1,rf,1001,4,0.956070821185617,0.6150207940432056,0.0157397069171814,0.0094327695072101
MCAR,0.0,S1,rf,1001,5,0.9507460722384192,0.5915937222469351,0.0159120510707444,0.0065535082017604
MCAR,0.0,S1,xgb,1001,1,0.9474448492208056,0.5054010832620377,0.017400661483407,0.0094654406712002
MCAR,0.0,S1,xgb,1001,2,0.9635034249211114,0.5706651033349157,0.0160328615456819,0.0074462262471774
MCAR,0.0,S1,xgb,1001,3,0.9533081915903436,0.5796901804712816,0.015940373763442,0.008963718958477
MCAR,0.0,S1,xgb,1001,4,0.9689625850340136,0.6485001320139233,0.0143097965046763,0.0065307497327596
